"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Place of Death"	"Place of Death Code"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	157	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Urolithiasis"	"N20-N23"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Other disorders of kidney and ureter"	"N25-N28"	14	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Other diseases of urinary system"	"N30-N39"	12	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Diseases of male genital organs"	"N40-N50"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"	"O10-O16"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	6	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Maternal care related to the fetus and amniotic cavity and possible delivery problems"	"O30-O48"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	12	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Infections specific to the perinatal period"	"P35-P39"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the nervous system"	"Q00-Q07"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the circulatory system"	"Q20-Q28"	45	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the respiratory system"	"Q30-Q34"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations of the digestive system"	"Q38-Q45"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the urinary system"	"Q60-Q64"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	8	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	18	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	40	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"General symptoms and signs"	"R50-R68"	48	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	210	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	1191	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	2025	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	517	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	413	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	132	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	25	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	39	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	33	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	7	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	59	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	85	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Obesity and other hyperalimentation"	"E65-E68"	20	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	9	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Mental and behavioural disorders"	"F01-F99"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	30	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Mental and behavioural disorders"	"F01-F99"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Mental and behavioural disorders"	"F01-F99"	"Mental retardation"	"F70-F79"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Inflammatory diseases of the central nervous system"	"G00-G09"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Extrapyramidal and movement disorders"	"G20-G25"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Other degenerative diseases of the nervous system"	"G30-G31"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Demyelinating diseases of the central nervous system"	"G35-G37"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Diseases of myoneural junction and muscle"	"G70-G72"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	115	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	429	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	12	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	105	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	14	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	15	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	14	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	8	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	47	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Diseases of liver"	"K70-K76"	24	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of the digestive system"	"K90-K92"	5	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Arthropathies"	"M00-M25"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Soft tissue disorders"	"M60-M79"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	10	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the nervous system"	"Q00-Q07"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the circulatory system"	"Q20-Q28"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	4	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"General symptoms and signs"	"R50-R68"	5	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Abnormal findings on examination of blood, without diagnosis"	"R70-R79"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	37	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	146	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	307	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	92	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	43	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	17	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	4	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	21	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	5	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	59	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other spirochaetal diseases"	"A65-A69"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Rickettsioses"	"A75-A79"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	19	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	309	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	367	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	13	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	8	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	17655	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"In situ neoplasms"	"D00-D09"	3	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	44	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	169	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	22	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	17	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	29	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	4	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	44	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	27	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	2713	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	10	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	18	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	32	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	2	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Obesity and other hyperalimentation"	"E65-E68"	713	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	365	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Organic, including symptomatic, mental disorders"	"F01-F09"	32	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	1664	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	18	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mood [affective] disorders"	"F30-F39"	8	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	5	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	6	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Disorders of adult personality and behaviour"	"F60-F69"	1	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mental retardation"	"F70-F79"	11	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Disorders of psychological development"	"F80-F89"	7	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Unspecified mental disorder"	"F99-F99"	1	Not Applicable	Not Applicable
